idpotentialsmur;region;station;latitude;longitude
1;1;1;49.70527635;4.939714447
2;1;2;49.51115838;4.363036645
3;1;3;49.39484717;4.701288663
4;1;4;49.76248455;4.69840582
5;1;5;49.9900523;4.709468151
6;2;1;48.27899314;4.068827805
7;2;2;48.51582013;3.716618719
8;2;3;48.23131088;4.714678874
9;3;1;48.97077381;4.370222841
10;3;2;49.03116447;3.955236022
11;3;3;48.71573957;4.601770163
12;3;4;49.22977595;4.01885467
13;3;5;49.09188469;4.906920827
14;4;1;48.12073801;5.141003058
15;4;2;47.86634488;5.336683939
16;4;3;48.65599748;4.964084214
17;5;1;48.67669716;5.887764845
18;5;2;48.58878473;6.492098679
19;5;3;49.2575016;5.934466227
20;5;4;49.53719072;5.781066807
21;5;5;48.68417043;6.193341274
22;6;1;49.15474039;5.382588308
23;6;2;48.78559522;5.164571327
24;7;1;49.18227908;6.911858456
25;7;2;48.73013156;7.051345198
26;7;3;49.37211745;6.150228863
27;7;4;49.04600844;7.421955027
28;7;5;49.10003529;7.096930253
29;7;6;49.08332904;6.24203857
30;8;1;48.57589923;7.743388555
31;8;2;48.79740352;7.777798183
32;8;3;48.74714209;7.351320778
33;8;4;49.04065596;7.93233372
34;8;5;48.26112013;7.434339368
35;9;1;48.07379941;7.338835006
36;9;2;47.72533313;7.344093319
37;10;1;48.17876047;6.454523398
38;10;2;48.28929958;6.963248343
39;10;3;48.36885742;5.708921027
40;10;4;48.01347092;6.593159999
41;10;5;48.20627033;5.948616598
42;10;6;48.07280162;6.877701154
